feature,F17,F21,F23,F24,F28,F29
lanes,True,True,True,True,True,True
maxspeed,True,True,True,True,True,True
oneway,True,True,True,True,True,True
reversed,True,True,True,True,True,True
length,True,True,True,True,True,True
bc,True,True,True,True,True,True
natural,True,True,False,True,True,True
emergency,True,True,False,False,True,True
boundary,True,True,True,False,True,True
width,True,True,True,True,True,True
power,True,False,False,False,True,True
waterway,True,False,False,False,True,True
office,True,True,True,False,True,True
historic,True,True,False,False,True,True
building,True,True,True,True,True,True
place,True,True,True,False,True,True
service,True,True,True,False,True,True
railway,True,True,True,False,True,True
leisure,True,True,False,False,True,True
public_transport,True,True,True,False,True,True
aerialway,True,False,False,False,True,True
shop,True,False,True,True,True,True
healthcare,True,False,False,False,True,True
tourism,True,True,True,False,True,True
craft,True,True,False,False,True,True
military,True,True,False,False,True,True
landuse,True,True,False,False,True,True
barrier,True,True,True,False,True,True
aeroway,True,True,True,False,True,True
water,True,True,False,False,True,True
route,True,False,True,False,True,True
telecom,False,False,False,False,True,True
man_made,False,False,False,False,True,True
